Date,Category,Exercise,Set Number,Reps,Weight (kg),Notes
2025-04-24,Other,Viking Press,1,1,0.0,
2025-04-24,Other,Viking Press,2,1,0.0,
2025-04-24,Other,Viking Press,3,1,0.0,
2025-04-24,Other,Viking Press,4,1,0.0,
2025-04-24,Other,Viking Press,1,12,20.0,
2025-04-24,Other,Viking Press,2,1,0.0,
2025-04-24,Other,Viking Press,3,1,0.0,
2025-04-24,Other,Viking Press,4,1,0.0,
2025-04-24,Other,Viking Press,1,12,20.0,
2025-04-24,Other,Viking Press,2,12,35.0,
2025-04-24,Other,Viking Press,3,1,0.0,
2025-04-24,Other,Viking Press,4,1,0.0,
2025-04-24,Other,Viking Press,1,12,20.0,
2025-04-24,Other,Viking Press,2,12,35.0,
2025-04-24,Other,Viking Press,3,12,0.0,
2025-04-24,Other,Viking Press,4,1,0.0,
2025-04-24,Other,Viking Press,1,12,20.0,
2025-04-24,Other,Viking Press,2,12,35.0,
2025-04-24,Other,Viking Press,3,12,35.0,
2025-04-24,Other,Viking Press,4,12,35.0,
2025-04-24,Other,Viking Press,1,12,20.0,Set 1 Warmup
2025-04-24,Other,Viking Press,2,12,35.0,
2025-04-24,Other,Viking Press,3,12,35.0,
2025-04-24,Other,Viking Press,4,12,35.0,
